date,symbol,setup,rsRating,relativeVolume,entryPrice,exitPrice,exitDate,qty,positionSizePercent,riskPercent,outcome,pnlPercent,notes
2026-03-23,MSFT,VDU,75,2,368.49,324.27,2026-04-22,22,8,1.4,Loss,-12,"Size ใหญ่ในไม้ VDU หวังเข้าก่อนคนอื่น RS 75 — ไม่มี follow-through ตัดขาดทุนช้าไปหน่อย"
2026-03-26,TSLA,VDU,95,2.9,236.62,214.61,2026-05-01,15,3.6,0.8,Loss,-9.3,"คาดการณ์ breakout ล่วงหน้าแทนที่จะรอวอลุ่มยืนยัน — พลาดแบบคลาสสิกคือรีบเข้าก่อนเวลา RS 95 ขาดทุน"
2026-04-04,PLTR,Episodic Pivot,76,1.2,42.67,45.87,2026-04-09,54,2.3,2.2,Win,7.5,"EP gap ขึ้นจากผลประกอบการ RS 76 วอลุ่มมหาศาล 1.2x — ถือผ่านความผันผวน ปิดใกล้จุดสูงสุด"
2026-04-15,MSFT,VDU,69,1.8,356.58,302.74,2026-04-30,23,8.1,1.5,Loss,-15.1,"คาดการณ์ breakout ล่วงหน้าแทนที่จะรอวอลุ่มยืนยัน — พลาดแบบคลาสสิกคือรีบเข้าก่อนเวลา RS 69 ขาดทุน"
2026-04-19,MSFT,Pullback,61,0.8,354.69,370.3,2026-05-29,21,7.4,0.9,Win,4.4,"Pullback มาที่เส้น 21dma ที่กำลังขึ้น RS 61 เข้าไม้ตามตำรา ทยอยขายทำกำไรตอนราคาแข็งแรง"
2026-04-20,TSLA,Episodic Pivot,89,1.5,226.93,245.77,2026-05-01,20,4.5,1.3,Win,8.3,"EP gap ขึ้นจากผลประกอบการ RS 89 วอลุ่มมหาศาล 1.5x — ถือผ่านความผันผวน ปิดใกล้จุดสูงสุด"
2026-04-30,TSLA,Breakout,74,1.4,209.24,193.55,2026-05-04,14,3,1.4,Loss,-7.5,"Breakout ที่ RS 74 แต่วอลุ่มแค่ 1.4x — ราคาอ่อนตัวลงภายในไม่กี่วัน ตัดขาดทุนตามแผน"
2026-05-11,AAPL,VDU,90,2.6,216.75,183.59,2026-06-02,20,4.3,0.7,Loss,-15.3,"เข้าก่อน breakout บนวอลุ่มต่ำ (VDU) RS แค่ 90 — ไม่มีการยืนยัน หุ้นไม่ breakout จริง โดน stop"
2026-05-15,PLTR,Episodic Pivot,76,3.1,39.85,35.67,2026-06-23,83,3.3,1.1,Loss,-10.5,"EP จากผลประกอบการที่ดี แต่ RS แค่ 76 ตอนเข้า — gap ขึ้นแล้วอ่อนตัว โดน stop ตอนกลับตัว"
2026-05-27,AAPL,VDU,82,0.9,173.77,162.13,2026-06-06,14,2.4,2.2,Loss,-6.7,"เข้าก่อน breakout บนวอลุ่มต่ำ (VDU) RS แค่ 82 — ไม่มีการยืนยัน หุ้นไม่ breakout จริง โดน stop"
2026-05-29,MSFT,Pullback,92,1.3,398.73,346.1,2026-06-28,9,3.4,1.3,Loss,-13.2,"revenge trade เข้าไม้ pullback ตัวเดิมซ้ำทันทีหลังขาดทุน RS 92 — ผิดพลาดซ้ำเดิม ขาดทุนอีกรอบ"
2026-05-30,NVDA,Pullback,55,2.9,474.91,423.62,2026-06-12,24,11.5,1.4,Loss,-10.8,"revenge trade เข้าไม้ pullback ตัวเดิมซ้ำทันทีหลังขาดทุน RS 55 — ผิดพลาดซ้ำเดิม ขาดทุนอีกรอบ"
2026-06-02,MSFT,VDU,82,1.8,414.76,427.2,2026-06-12,5,2.2,0.9,Win,3,"เข้าไม้ตอนวอลุ่มแห้ง (VDU) ก่อน breakout จริง RS 82 — ครั้งนี้ได้ผลแต่เข้าเร็วไปหน่อย"
2026-06-08,NVDA,Breakout,86,1.7,424,446.47,2026-07-05,11,4.5,1.4,Win,5.3,"Breakout ทะลุฐานแบบ 6 สัปดาห์ RS 86 วอลุ่ม 1.7x ของค่าเฉลี่ย — ถือผ่าน pullback แรกไปถึง 10dma"
2026-06-10,AAPL,Episodic Pivot,74,3.1,184.98,169.26,2026-07-07,15,2.8,1.1,Loss,-8.5,"EP จากผลประกอบการที่ดี แต่ RS แค่ 74 ตอนเข้า — gap ขึ้นแล้วอ่อนตัว โดน stop ตอนกลับตัว"
2026-06-14,AAPL,Pullback,94,0.9,205.75,222.62,2026-06-17,15,3.1,1.3,Win,8.2,"Pullback มาที่เส้น 21dma ที่กำลังขึ้น RS 94 เข้าไม้ตามตำรา ทยอยขายทำกำไรตอนราคาแข็งแรง"
2026-06-18,PLTR,VCP,90,1.7,42.73,43.58,2026-07-10,56,2.4,2.2,Win,2,"VCP ตามตำรา หด volatility แน่นขึ้นเรื่อยๆ บนวอลุ่มที่แห้งลง 1.7x, RS 90 — เข้าเต็ม position ถือถึงเป้า"
2026-06-23,AAPL,Episodic Pivot,75,2.4,174.81,149.29,2026-07-21,20,3.5,1.1,Loss,-14.6,"EP จากผลประกอบการที่ดี แต่ RS แค่ 75 ตอนเข้า — gap ขึ้นแล้วอ่อนตัว โดน stop ตอนกลับตัว"
2026-06-28,TSLA,Episodic Pivot,97,1.1,279.8,266.09,2026-07-16,16,4.6,2.2,Loss,-4.9,"EP จากผลประกอบการที่ดี แต่ RS แค่ 97 ตอนเข้า — gap ขึ้นแล้วอ่อนตัว โดน stop ตอนกลับตัว"
2026-06-28,NVDA,Breakout,65,2.4,479.51,411.9,2026-07-30,10,4.6,0.8,Loss,-14.1,"ไล่ราคา breakout ที่ยืดตัวไปมากแล้ว RS 65 ไม่มีฐานที่แท้จริง — โดน stop เร็ว"
2026-06-30,PLTR,VDU,96,2.8,39.95,41.67,2026-08-07,113,4.5,0.5,Win,4.3,"เข้าไม้ตอนวอลุ่มแห้ง (VDU) ก่อน breakout จริง RS 96 — ครั้งนี้ได้ผลแต่เข้าเร็วไปหน่อย"
2026-07-04,NVDA,Episodic Pivot,77,1.4,506.29,533.63,2026-07-28,6,3,1.9,Win,5.4,"EP gap ขึ้นจากผลประกอบการ RS 77 วอลุ่มมหาศาล 1.4x — ถือผ่านความผันผวน ปิดใกล้จุดสูงสุด"
2026-07-23,TSLA,VDU,57,1.5,265.92,293.31,2026-08-26,42,11.3,0.9,Win,10.3,"เข้าไม้ตอนวอลุ่มแห้ง (VDU) ก่อน breakout จริง RS 57 — ครั้งนี้ได้ผลแต่เข้าเร็วไปหน่อย"
2026-07-27,PLTR,VCP,77,1.1,35.14,32.05,2026-09-04,83,2.9,1,Loss,-8.8,"รูปแบบ VCP ดูถูกต้อง แต่ RS แค่ 77 — breakout เข้าไปในตลาดที่อ่อนแอ โดน stop"
2026-07-30,TSLA,Episodic Pivot,77,1.7,246.31,272.91,2026-09-08,19,4.7,1.9,Win,10.8,"EP gap ขึ้นจากผลประกอบการ RS 77 วอลุ่มมหาศาล 1.7x — ถือผ่านความผันผวน ปิดใกล้จุดสูงสุด"
2026-08-06,TSLA,VCP,77,3,228.26,245.15,2026-08-16,19,4.4,1,Win,7.4,"VCP ตามตำรา หด volatility แน่นขึ้นเรื่อยๆ บนวอลุ่มที่แห้งลง 3.0x, RS 77 — เข้าเต็ม position ถือถึงเป้า"
2026-08-11,AAPL,VDU,75,1.6,213.36,200.35,2026-08-17,37,7.8,1.2,Loss,-6.1,"เข้าก่อน breakout บนวอลุ่มต่ำ (VDU) RS แค่ 75 — ไม่มีการยืนยัน หุ้นไม่ breakout จริง โดน stop"
2026-08-12,NVDA,Pullback,56,2.3,551.86,564.55,2026-09-01,15,8.2,0.5,Win,2.3,"ซื้อวันเขียวแรกที่หลุด 10dma RS 56 เป็นไปตามแผนที่วางไว้"
2026-08-13,PLTR,Pullback,84,2,35.1,36.75,2026-08-24,114,4,0.9,Win,4.7,"Pullback มาที่เส้น 21dma ที่กำลังขึ้น RS 84 เข้าไม้ตามตำรา ทยอยขายทำกำไรตอนราคาแข็งแรง"
2026-08-14,AAPL,Pullback,87,1.8,182.07,187.71,2026-08-16,26,4.8,1.2,Win,3.1,"Pullback มาที่เส้น 21dma ที่กำลังขึ้น RS 87 เข้าไม้ตามตำรา ทยอยขายทำกำไรตอนราคาแข็งแรง"
2026-08-25,AAPL,Pullback,72,2.4,202.44,223.9,2026-09-11,40,8,2,Win,10.6,"ซื้อวันเขียวแรกที่หลุด 10dma RS 72 เป็นไปตามแผนที่วางไว้"
2026-09-02,AAPL,VCP,62,1.8,186.22,196.46,2026-09-04,21,3.9,2.5,Win,5.5,"Breakout VCP ระยะที่ 3, RS 62 จัดขนาด position เหมาะสม trailing stop ที่ 10dma"
2026-09-05,TSLA,VCP,65,2.8,226.27,218.8,2026-09-06,18,4,1.6,Loss,-3.3,"กระโดดเข้า VCP breakout เร็วไปหนึ่งวัน วอลุ่มยังไม่ยืนยัน — โดน stop ตอนโดนเขย่าออก"
2026-09-06,MSFT,Episodic Pivot,95,0.9,370.44,341.55,2026-09-10,6,2.1,2.3,Loss,-7.8,"EP จากผลประกอบการที่ดี แต่ RS แค่ 95 ตอนเข้า — gap ขึ้นแล้วอ่อนตัว โดน stop ตอนกลับตัว"
2026-09-07,MSFT,Pullback,81,2,442.92,470.82,2026-09-10,8,3.6,1.5,Win,6.3,"ซื้อวันเขียวแรกที่หลุด 10dma RS 81 เป็นไปตามแผนที่วางไว้"
2026-09-16,NVDA,Episodic Pivot,60,2.9,514.92,,,8,3.9,1.7,Open,,"EP จากผลประกอบการที่ดี แต่ RS แค่ 60 ตอนเข้า — gap ขึ้นแล้วอ่อนตัว โดน stop ตอนกลับตัว"
